plaid_primary_category,plaid_detailed_category,raylo_category,cash_flow_type,necessity,is_debt_related,risk_flag,is_recurring_income,notes
BANK_FEES,BANK_FEES_FOREIGN_TRANSACTION_FEES,bank_fee_foreign_txn,fee_or_penalty,not_applicable,false,none,,routine fee not a distress signal
BANK_FEES,BANK_FEES_OTHER_BANK_FEES,bank_fee_other,fee_or_penalty,not_applicable,false,none,,routine fee not a distress signal
BANK_FEES,BANK_FEES_ATM,bank_fee_atm,fee_or_penalty,not_applicable,false,none,,routine fee not a distress signal
BANK_PENALTIES,BANK_PENALTIES_CASH_ADVANCE_AND_OVERDRAFT_FEES,overdraft_or_cash_advance_fee,fee_or_penalty,not_applicable,false,distress_fee,,
BANK_PENALTIES,BANK_PENALTIES_INSUFFICIENT_AND_LATE_FEES,insufficient_funds_or_late_fee,fee_or_penalty,not_applicable,false,distress_fee,,
CHILDCARE_AND_EDUCATION,CHILDCARE_AND_EDUCATION_CHILDCARE_AND_EDUCATION,childcare_education,spend,essential,false,none,,
DINING,DINING_DINING,dining,spend,discretionary,false,none,,
DINING,DINING_OTHER_DINING,dining,spend,discretionary,false,none,,collapsed into dining
DINING,DINING_COFFEE,coffee,spend,discretionary,false,none,,
DINING,DINING_WINE_BARS_AND_PUBS,bars_pubs,spend,discretionary,false,none,,
ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling,spend,discretionary,false,behavioural_risk,,
ENTERTAINMENT,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,entertainment_media,spend,discretionary,false,none,,FLAG - bundles streaming subs with one-off purchases; needs merchant-name split
ENTERTAINMENT,ENTERTAINMENT_EVENTS_AND_TICKETS,entertainment_events,spend,discretionary,false,none,,
ENTERTAINMENT,ENTERTAINMENT_OTHER_ENTERTAINMENT,entertainment_other,spend,discretionary,false,none,,
FOOD_RETAIL,FOOD_RETAIL_GROCERIES,grocer,spend,essential,false,none,,
FOOD_RETAIL,FOOD_RETAIL_OTHER,food_retail_other,spend,essential,false,none,,
FOOD_RETAIL,FOOD_RETAIL_LIQUOR_STORES,liquor_store,spend,discretionary,false,none,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,online_marketplace,spend,mixed_basket,false,none,,category-level basket can't be split further
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,general_merchandise_other,spend,mixed_basket,false,none,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_COMPUTERS_AND_ELECTRONICS,electronics,spend,mixed_basket,false,none,,relevant - device-adjacent spend, worth a dedicated feature regardless of necessity split
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CONVENIENCE_STORES,convenience_store,spend,mixed_basket,false,none,,revised from essential - mixed basket in practice
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,apparel,spend,mixed_basket,false,none,,revised from discretionary - workwear vs fashion is mixed
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_FURNITURE_AND_HARDWARE,furniture_hardware,spend,mixed_basket,false,none,,revised from discretionary - repair vs upgrade is mixed
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DEPARTMENT_STORES,department_store,spend,mixed_basket,false,none,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES,discount_store,spend,mixed_basket,false,none,,revised from essential for consistency with other general merchandise
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS,sporting_goods,spend,mixed_basket,false,none,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES,superstore,spend,mixed_basket,false,none,,revised from essential for consistency
GENERAL_SERVICES,GENERAL_SERVICES_OTHER_SERVICES,services_other,spend,mixed_basket,false,none,,
GENERAL_SERVICES,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES,financial_services,spend,mixed_basket,false,none,,revised from essential - as mixed as legal/consulting
GENERAL_SERVICES,GENERAL_SERVICES_CONSULTING_AND_LEGAL_SERVICES,professional_services,spend,mixed_basket,false,none,,revised from discretionary for consistency with financial_services
GENERAL_SERVICES,GENERAL_SERVICES_HOME_IMPROVEMENT_SERVICES,home_improvement,spend,mixed_basket,false,none,,revised from discretionary - repair vs renovation is mixed
GENERAL_SERVICES,GENERAL_SERVICES_RELIGIOUS_SERVICES,religious_services,spend,discretionary,false,none,,voluntary giving, kept distinct from mixed-basket retail
GOVERNMENTS_AND_NON_PROFIT,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,government_nonprofit,spend,essential,false,none,,mandatory payments to govt bodies
GOVERNMENTS_AND_NON_PROFIT,GOVERNMENTS_AND_NON_PROFIT_DONATIONS,donations,spend,discretionary,false,none,,voluntary
GOVERNMENTS_AND_NON_PROFIT,GOVERNMENTS_AND_NON_PROFIT_OTHER_GOVERNMENTS_AND_NON_PROFIT,government_nonprofit_other,spend,essential,false,none,,
INCOME,INCOME_SALARY,salary,income,not_applicable,false,none,true,
INCOME,INCOME_OTHER,income_other,income,not_applicable,false,none,false,ambiguous/miscellaneous - treat as non-recurring by default
INCOME,INCOME_GOVERNMENT_INCOME,government_income,income,not_applicable,false,none,true,benefits typically recurring
INSURANCE_AND_TAX,INSURANCE_AND_TAX_INSURANCE,insurance,spend,essential,false,none,,
INSURANCE_AND_TAX,INSURANCE_AND_TAX_TAX_PAYMENT,tax_payment,spend,essential,false,none,,
INTERESTS_AND_DIVIDENDS,INTERESTS_AND_DIVIDENDS_INTERESTS_AND_DIVIDENDS,interest_dividends_received,income,not_applicable,false,none,false,passive income - not treated as regular income
INTEREST_PAYMENTS,INTEREST_PAYMENTS_INTEREST_CHARGED,interest_charged,fee_or_penalty,not_applicable,true,none,,signals carrying a revolving balance - cost of debt distinct from principal repayment
INTEREST_PAYMENTS,INTEREST_PAYMENTS_INTEREST_RECEIVED,interest_received,income,not_applicable,false,none,false,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_OTHER,loan_disbursement_other,debt_disbursement,not_applicable,true,none,,new borrowing arriving, not spend
