label,n,logreg_accuracy,hinge_accuracy,delta_accuracy,logreg_precision,hinge_precision,logreg_recall,hinge_recall,logreg_f1,hinge_f1,delta_f1,eval_set
credit_loan_repayments,245,0.9102040816326531,0.9387755102040817,0.02857142857142858,0.8814229249011858,0.8745247148288974,0.9102040816326531,0.9387755102040817,0.8955823293172691,0.905511811023622,0.009929481706352883,risk
gambling,230,0.8260869565217391,0.8739130434782608,0.047826086956521685,0.9947643979057592,0.9852941176470589,0.8260869565217391,0.8739130434782608,0.9026128266033254,0.9262672811059908,0.023654454502665345,risk
high_cost_distress_credit,144,0.8611111111111112,0.9236111111111112,0.0625,0.992,0.9851851851851852,0.8611111111111112,0.9236111111111112,0.9219330855018587,0.953405017921147,0.03147193241928825,risk
transfers,27,0.4444444444444444,0.4074074074074074,-0.037037037037037035,0.2926829268292683,0.36666666666666664,0.4444444444444444,0.4074074074074074,0.35294117647058826,0.38596491228070173,0.033023735810113475,risk
fees_charges,24,0.9583333333333334,0.9166666666666666,-0.04166666666666674,1.0,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9787234042553191,0.9166666666666666,-0.06205673758865249,risk
income_other,14,0.21428571428571427,0.14285714285714285,-0.07142857142857142,0.42857142857142855,0.25,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.18181818181818182,-0.10389610389610388,risk
general_retail_marketplaces,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
groceries_household_essentials,6,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.06060606060606066,risk
transport_motoring,4,0.5,0.5,0.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5714285714285714,0.0714285714285714,risk
entertainment_leisure,2,0.5,0.5,0.0,0.5,0.2,0.5,0.5,0.5,0.2857142857142857,-0.2142857142857143,risk
savings_investments,2,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.33333333333333337,risk
unclassified,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
clothing_personal_care,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
digital_subscriptions_services,1,1.0,0.0,-1.0,0.3333333333333333,0.0,1.0,0.0,0.5,0.0,-0.5,risk
eating_drinking_out,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
home_garden,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
pets,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
