label,n,logreg_accuracy,hinge_accuracy,delta_accuracy,logreg_precision,hinge_precision,logreg_recall,hinge_recall,logreg_f1,hinge_f1,delta_f1,eval_set
gambling_betting,93,0.8387096774193549,0.8494623655913979,0.010752688172043001,0.975,0.9875,0.8387096774193549,0.8494623655913979,0.9017341040462428,0.9132947976878613,0.011560693641618491,risk
debt_collection,33,0.5757575757575758,0.5757575757575758,0.0,0.95,0.9047619047619048,0.5757575757575758,0.5757575757575758,0.7169811320754716,0.7037037037037037,-0.01327742837176793,risk
gambling_casino,32,0.875,0.9375,0.0625,1.0,0.9090909090909091,0.875,0.9375,0.9333333333333333,0.9230769230769231,-0.01025641025641022,risk
gambling_bingo,31,0.3548387096774194,0.4838709677419355,0.12903225806451613,0.7857142857142857,0.9375,0.3548387096774194,0.4838709677419355,0.4888888888888889,0.6382978723404256,0.1494089834515367,risk
gambling_lottery,28,1.0,1.0,0.0,0.9655172413793104,0.9333333333333333,1.0,1.0,0.9824561403508771,0.9655172413793104,-0.01693889897156675,risk
debt_management_plan,25,0.64,0.92,0.28,0.5333333333333333,0.6216216216216216,0.64,0.92,0.5818181818181818,0.7419354838709677,0.16011730205278596,risk
gambling_unspecified,25,0.6,0.8,0.20000000000000007,0.75,0.8333333333333334,0.6,0.8,0.6666666666666666,0.8163265306122449,0.1496598639455783,risk
personal_loan_repayment,24,0.7916666666666666,0.75,-0.04166666666666663,0.7916666666666666,0.9473684210526315,0.7916666666666666,0.75,0.7916666666666666,0.8372093023255814,0.04554263565891481,risk
revolving_credit_repayment,23,0.5652173913043478,0.7391304347826086,0.17391304347826086,0.8666666666666667,0.6538461538461539,0.5652173913043478,0.7391304347826086,0.6842105263157895,0.6938775510204082,0.009667024704618665,risk
credit_reporting_service,21,0.9523809523809523,0.9523809523809523,0.0,1.0,1.0,0.9523809523809523,0.9523809523809523,0.975609756097561,0.975609756097561,0.0,risk
credit_union_repayment,21,0.9047619047619048,0.9047619047619048,0.0,0.95,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.926829268292683,0.9047619047619048,-0.022067363530778206,risk
prize_competitions,21,0.9047619047619048,0.9523809523809523,0.04761904761904756,0.95,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.926829268292683,0.9523809523809523,0.025551684088269355,risk
car_lease,20,0.95,1.0,0.050000000000000044,1.0,1.0,0.95,1.0,0.9743589743589743,1.0,0.02564102564102566,risk
cash_advance,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
credit_card_repayment,20,0.95,0.95,0.0,0.95,0.9047619047619048,0.95,0.95,0.95,0.926829268292683,-0.023170731707316983,risk
hire_purchase_repayment,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
overdraft_arranged,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
pawnbroker,20,0.95,0.95,0.0,1.0,1.0,0.95,0.95,0.9743589743589743,0.9743589743589743,0.0,risk
student_loan_repayment,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
loan_repayment_manual,19,0.8947368421052632,1.0,0.10526315789473684,0.7727272727272727,0.8636363636363636,0.8947368421052632,1.0,0.8292682926829268,0.926829268292683,0.09756097560975618,risk
retail_finance_repayment,19,1.0,0.9473684210526315,-0.052631578947368474,1.0,1.0,1.0,0.9473684210526315,1.0,0.972972972972973,-0.027027027027026973,risk
bnpl,18,0.8888888888888888,0.9444444444444444,0.05555555555555558,0.7619047619047619,0.7727272727272727,0.8888888888888888,0.9444444444444444,0.8205128205128205,0.85,0.029487179487179493,risk
car_finance_repayment,18,0.7777777777777778,0.8333333333333334,0.05555555555555558,0.9333333333333333,0.9375,0.7777777777777778,0.8333333333333334,0.8484848484848485,0.8823529411764706,0.033868092691622054,risk
debt_enforcement,17,0.8235294117647058,0.8235294117647058,0.0,1.0,1.0,0.8235294117647058,0.8235294117647058,0.9032258064516129,0.9032258064516129,0.0,risk
transfer_own_account,17,0.17647058823529413,0.23529411764705882,0.05882352941176469,1.0,1.0,0.17647058823529413,0.23529411764705882,0.3,0.38095238095238093,0.08095238095238094,risk
refund_received,14,0.21428571428571427,0.0,-0.21428571428571427,0.42857142857142855,0.0,0.21428571428571427,0.0,0.2857142857142857,0.0,-0.2857142857142857,risk
transfer_p2p,10,0.6,0.6,0.0,0.15789473684210525,0.23076923076923078,0.6,0.6,0.25,0.3333333333333333,0.08333333333333331,risk
financial_services_other,8,0.625,0.625,0.0,0.5555555555555556,0.5555555555555556,0.625,0.625,0.5882352941176471,0.5882352941176471,0.0,risk
loan_repayment_other,7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
payday_loan,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,1.0,1.0,0.2857142857142857,0.5714285714285714,0.4444444444444444,0.7272727272727273,0.2828282828282829,risk
charge_card_repayment,6,1.0,1.0,0.0,0.35294117647058826,0.35294117647058826,1.0,1.0,0.5217391304347826,0.5217391304347826,0.0,risk
payment_intermediary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
convenience_store,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
returned_payment,4,0.75,0.5,-0.25,1.0,1.0,0.75,0.5,0.8571428571428571,0.6666666666666666,-0.19047619047619047,risk
balance_transfer,2,1.0,1.0,0.0,0.4,0.4,1.0,1.0,0.5714285714285714,0.5714285714285714,0.0,risk
