normalised_merchant,detailed_category,confidence,source,review_status,notes
taco bell,takeaway,high,gating_adjudication,approved,
omaze,prize_competitions,high,gating_adjudication,approved,
the entertainer,toys,high,gating_adjudication,approved,
canva,software,high,gating_adjudication,approved,
depop,marketplace_amazon,high,gating_adjudication,approved,
beryl,bicycle,high,gating_adjudication,approved,
euro car parts,spares_repairs,high,gating_adjudication,approved,
parkdean resorts,holiday_uk,high,gating_adjudication,approved,
central convenience stores,convenience_store,high,gating_adjudication,approved,
hmv,physical_media,high,gating_adjudication,approved,
go outdoors,clothing_outdoor,high,gating_adjudication,approved,
british heart foundation,charity_shop,high,gating_adjudication,approved,
schuh,footwear,high,gating_adjudication,approved,
popeyes,takeaway,high,gating_adjudication,approved,
revolucion de cuba,pub_bar,high,gating_adjudication,approved,
crunchyroll,streaming,high,gating_adjudication,approved,
youtube premium,streaming,high,gating_adjudication,approved,
ryman,stationery,high,gating_adjudication,approved,
school gateway,school_fees,high,gating_adjudication,approved,
clarks,footwear,high,gating_adjudication,approved,
pharmacy2u,pharmacy,high,gating_adjudication,approved,
mountain warehouse,clothing_outdoor,high,gating_adjudication,approved,
tails.com,pet_supplies,high,gating_adjudication,approved,
center parcs,holiday_uk,high,gating_adjudication,approved,
hotel chocolat,confectionary,high,gating_adjudication,approved,
botb,prize_competitions,high,gating_adjudication,approved,
beauty outlet,health_beauty_general,high,gating_adjudication,approved,
lookfantastic,health_beauty_general,high,gating_adjudication,approved,
schoolmoney,school_fees,high,gating_adjudication,approved,
supercell,gaming_mobile,high,gating_adjudication,approved,
super pound saver,discount_store,high,gating_adjudication,approved,
competition fox,prize_competitions,high,gating_adjudication,approved,
glossybox,health_beauty_general,high,gating_adjudication,approved,
uphold,crypto,high,gating_adjudication,approved,
click competitions,prize_competitions,high,gating_adjudication,approved,
vistaprint,printing_services,high,gating_adjudication,approved,
flannels,clothing_general,high,gating_adjudication,approved,
the bike club,bicycle,high,gating_adjudication,approved,
carrefour,groceries,high,gating_adjudication,approved,
treatwell,beauty_treatment,high,gating_adjudication,approved,
skechers,footwear,high,gating_adjudication,approved,
walkabout,pub_bar,high,gating_adjudication,approved,
hayu,streaming,high,gating_adjudication,approved,
wynsors,footwear,high,gating_adjudication,approved,
anyvan,delivery_courier,high,gating_adjudication,approved,
the cricketers,pub_bar,high,gating_adjudication,approved,
pizza express,restaurant_cafe,high,gating_adjudication,approved,
thistle insurance,insurance_general,high,gating_adjudication,approved,
mojang,gaming_console_pc,high,gating_adjudication,approved,
boux avenue,clothing_womens,high,gating_adjudication,approved,
saltrock surfwear,clothing_outdoor,high,gating_adjudication,approved,
the tanning rooms,beauty_treatment,high,gating_adjudication,approved,
crocs,footwear,high,gating_adjudication,approved,
feel good contacts,optician,high,gating_adjudication,approved,
ann summers,adult_products,high,gating_adjudication,approved,
v kent minimart ltd,convenience_store,high,gating_adjudication,approved,
gumtree,marketplace_amazon,high,gating_adjudication,approved,
deezer,streaming,high,gating_adjudication,approved,
jagex,gaming_online,high,gating_adjudication,approved,
back market uk ltd,marketplace_refurbished,high,gating_adjudication,approved,
student loans company,student_loan_repayment,high,gating_adjudication,approved,Student Loans Company includes both disbursements and repayments; transaction direction is required.
the white company,home_accessories,high,gating_adjudication,approved,
bandcamp,music_other,high,gating_adjudication,approved,
ancoats general store,convenience_store,high,gating_adjudication,approved,
