merchant,gold_leaf,alt_leaf,gold_source,plaid_n
tesco,groceries,,consensus_all_agree,75399
clearpay,bnpl,,consensus_all_agree,55959
uber,taxi_rideshare,,consensus_all_agree,43610
zilch,bnpl,,consensus_all_agree,41558
asda,groceries,,consensus_all_agree,34272
sainsbury's,groceries,,consensus_all_agree,30753
klarna,bnpl,,consensus_all_agree,28332
co-op,groceries,,consensus_all_agree,25202
morrisons,groceries,,consensus_all_agree,22890
uber eats,takeaway,,consensus_all_agree,22103
aldi,groceries,,consensus_all_agree,21570
just eat,takeaway,,consensus_all_agree,21479
google play,software,,adjudicated_llm,19351
lidl,groceries,,consensus_all_agree,18219
greggs,restaurant_cafe,,consensus_all_agree,18091
vinted,marketplace_amazon,,adjudicated_llm,13350
bet365,gambling_betting,,consensus_all_agree,12987
home bargains,discount_store,,adjudicated_llm,11392
ebay,marketplace_amazon,,adjudicated_llm,11260
shell,fuel,,consensus_all_agree,10801
capital one,credit_card_repayment,,consensus_all_agree,10479
paddy power,gambling_betting,,consensus_all_agree,10173
one stop,convenience_store,,consensus_all_agree,9935
deliveroo,takeaway,,consensus_all_agree,9919
the national lottery,gambling_lottery,,consensus_all_agree,9303
tombola,gambling_bingo,,consensus_all_agree,8991
o2,mobile_phone_contract,,consensus_all_agree,8782
b&m,discount_store,,adjudicated_llm,8720
poundland,discount_store,,consensus_all_agree,8651
william hill,gambling_betting,,consensus_all_agree,7961
sky,broadband_tv_phone,,consensus_all_agree,7418
vodafone,mobile_phone_contract,,consensus_all_agree,7396
lowell financial,debt_collection,,consensus_all_agree,7381
betfred,gambling_betting,,consensus_all_agree,6890
netflix,streaming_music,,adjudicated_llm,6622
primark,clothing_general,,consensus_all_agree,6436
kfc,takeaway,,consensus_all_agree,5976
betfair,gambling_betting,,consensus_all_agree,5730
nisa,convenience_store,groceries,adjudicated_either,5696
starbucks,restaurant_cafe,,consensus_all_agree,5473
motor fuel group,fuel,,consensus_all_agree,5115
bp,fuel,,consensus_all_agree,5035
amazon prime video,streaming_music,,adjudicated_llm,4663
british gas,energy,,consensus_all_agree,4460
spotify,streaming_music,,consensus_all_agree,4262
creditspring,personal_loan_repayment,,adjudicated_equifax,4011
boots,pharmacy,,adjudicated_llm,4002
superdrug,pharmacy,,adjudicated_llm,3660
waitrose,groceries,,consensus_all_agree,3647
virgin games,gambling_casino,,consensus_all_agree,3531
tv licensing,tv_licence,,consensus_all_agree,3469
londis,convenience_store,,consensus_all_agree,3286
virgin bet,gambling_betting,,consensus_all_agree,3205
arriva,public_transport_rail_coach,,consensus_all_agree,3114
subway,takeaway,,consensus_all_agree,3020
microsoft,software,,consensus_all_agree,3017
ladbrokes,gambling_betting,,consensus_all_agree,2886
octopus energy,energy,,consensus_all_agree,2857
costcutter,convenience_store,groceries,adjudicated_either,2751
zopa,personal_loan_repayment,,consensus_all_agree,2743
shein,clothing_general,,adjudicated_llm,2661
barclaycard,credit_card_repayment,,consensus_all_agree,2650
virgin media,broadband_tv_phone,,consensus_all_agree,2643
card factory,gifts_flowers,,consensus_all_agree,2563
ovo energy,energy,,consensus_all_agree,2539
betvictor,gambling_betting,,consensus_all_agree,2400
spar,convenience_store,groceries,adjudicated_either,2396
paypal,payment_intermediary,,consensus_all_agree,2288
the range,home_accessories,,consensus_all_agree,2261
screwfix,tools,,consensus_all_agree,2252
pets at home,pet_supplies,,consensus_all_agree,2189
gocardless,payment_intermediary,,adjudicated_llm,2161
tesco mobile,mobile_phone_contract,,consensus_all_agree,2094
burger king,takeaway,,consensus_all_agree,2059
vanquis bank,credit_card_repayment,,consensus_all_agree,2040
heart bingo,gambling_bingo,,consensus_all_agree,2005
argos,catalogue_retail,,consensus_all_agree,1908
aviva,insurance_general,,consensus_all_agree,1791
sports direct,sportswear,,consensus_all_agree,1778
betway,gambling_betting,,consensus_all_agree,1767
admiral,insurance_general,,adjudicated_equifax,1747
gohenry,prepaid_card,,consensus_all_agree,1736
save the pennies,savings_transfer,,consensus_all_agree,1727
costco,cash_and_carry,department_store,adjudicated_either,1721
scottish power,energy,,consensus_all_agree,1618
id mobile,mobile_phone_contract,,consensus_all_agree,1600
very,catalogue_retail,,consensus_all_agree,1557
royal mail,delivery_courier,,consensus_all_agree,1493
pret a manger,restaurant_cafe,,adjudicated_llm,1481
halfords,vehicle_maintenance,,consensus_all_agree,1421
dvla,road_tax,,consensus_all_agree,1361
lendable,personal_loan_repayment,,consensus_all_agree,1298
first bus,public_transport_rail_coach,,consensus_all_agree,1292
postcode lottery,gambling_lottery,,consensus_all_agree,1289
remitly,transfer_international,,consensus_all_agree,1277
matalan,clothing_general,,adjudicated_llm,1230
mcqueens dairies,groceries_specialist,,adjudicated_llm,1149
three,mobile_phone_contract,,consensus_all_agree,1107
lebara,mobile_phone_contract,,consensus_all_agree,1090
moneybox,savings_transfer,,consensus_all_agree,1066
sky mobile,mobile_phone_contract,,consensus_all_agree,1064
onlyfans,adult_entertainment,,adjudicated_llm,1049
virgin money,financial_institution_unspecified,,consensus_all_agree,1044
poundstretcher,discount_store,,consensus_all_agree,1036
tk maxx,clothing_general,,consensus_all_agree,1007
united utilities,water,,consensus_all_agree,996
booking.com,accommodation,,consensus_all_agree,968
voxi,mobile_phone_contract,,consensus_all_agree,961
ikea,home_accessories,,consensus_all_agree,961
