merchant_raw,description_raw,amount,direction,gold_leaf,target_leaf
SkyBet,SKY BETTING AND GA  ON 06 AUG BCC Sky Bet,50.0,debit,gambling_betting,gambling_betting
Virgin Bet,VIRGIN BET CD 5097,10.0,debit,gambling_betting,gambling_betting
Paddy Power,4498 29MAY25      PADDY POWER       LONDON GB,10.0,debit,gambling_betting,gambling_betting
Bet365,BET365            GIBRALTAR,5.0,debit,gambling_betting,gambling_betting
Betfair,BETFAIR  ON 16 OCT CPM Betfair,5.0,debit,gambling_betting,gambling_betting
BetFred,Betfred,5.0,debit,gambling_betting,gambling_betting
LC International,LC INTERNATIONAL L,6.0,debit,gambling_betting,gambling_betting
SkyBet,Sky Bet,5.0,debit,gambling_betting,gambling_betting
SkyBet,"WLT 01, Sky Bet",10.0,debit,gambling_betting,gambling_betting
SkyBet,SKY BET,5.0,debit,gambling_betting,gambling_betting
Bet365,BET365,5.0,debit,gambling_betting,gambling_betting
LC International,LC INTERNATIONAL L,5.0,debit,gambling_betting,gambling_betting
SkyBet,SKY BET           WWW.SKYBET.CO,10.0,debit,gambling_betting,gambling_betting
LC International,INT'L 0061658318  LC INTERNATIONAL LWWW.SPORTS.CO,10.0,debit,gambling_betting,gambling_betting
Betfair,BETFAIR,20.0,debit,gambling_betting,gambling_betting
William Hill,WILLIAMHILL*INTERN  ON 27 AUG CPM WILLIAMHILL*INTERNET,10.0,debit,gambling_betting,gambling_betting
William Hill,WILLIAMHILL*INTERN,5.0,credit,gambling_betting,gambling_betting
SkyBet,Sky Bet,5.0,debit,gambling_betting,gambling_betting
BetFred,BETFRED                                  500001030002422011,10.0,credit,gambling_betting,gambling_betting
SkyBet,SKY BET  ON 25 JUL CPM,5.0,debit,gambling_betting,gambling_betting
Electraworks Casinos & Bingo Sites,Electraworks Casinos & Bingo Sites,20.0,debit,gambling_unspecified,gambling_casino
Rainbow Riches,Rainbow Riches,20.0,debit,gambling_casino,gambling_casino
MRQ,MrQ.com,20.0,debit,gambling_casino,gambling_casino
Virgin Games,VIRGIN GAMES GIBRALTAR ON 12 AUG BCC,30.0,debit,gambling_casino,gambling_casino
Virgin Games,Visa purchase VIRGIN GAMES APPLEPAY 0989 2025-10-05,25.0,debit,gambling_casino,gambling_casino
Skill On Net,SKILL ON NET,19.0,debit,gambling_casino,gambling_casino
32Red,INT'L 0008329871  32red             32red,10.0,debit,gambling_casino,gambling_casino
Virgin Games,CARD PAYMENT TO VIRGIN GAMES ON 09-10-2025,10.0,debit,gambling_casino,gambling_casino
Virgin Games,VIRGIN GAMES,15.0,debit,gambling_casino,gambling_casino
32Red,32RED,10.0,debit,gambling_casino,gambling_casino
Skill On Net,SKILL ON NET  ON 01 SEP CPM,10.0,debit,gambling_casino,gambling_casino
