merchant_raw,description_raw,amount,direction,provider,native_category,source,provenance,haiku_leaf,sonnet_leaf,gold_leaf,notes
247 Money,247 MONEY GROUP LI 221317,504.78,debit,plaid,LOAN_PAYMENTS_MORTGAGE_AND_AUTO,already_verified,gold_head_adjudicated,,,car_finance_repayment,
Kia Lunt Faye,KIA LUNT FAYE WINT 100000001600281281,200,debit,plaid,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,already_verified,production_tranche3_review,,,car_finance_repayment,
Per Week Car,PAY PER WEEK CARPEROTHERHAM,12,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche2_review,,,car_finance_repayment,
2awrs Mandate No,"DIRECT DEBIT REVERSAL REF PARENTPAYABAA2AWRS, MANDATE NO 0018",-20,credit,plaid,TRANSFER_IN_OTHER,already_verified,production_tranche3_review,,,returned_payment,
Agbx,"DIRECT DEBIT REVERSAL REF 1AGBX27496, MANDATE NO 0008",-95.98,credit,plaid,TRANSFER_IN_OTHER,already_verified,production_tranche3_review,,,returned_payment,
Faster,RETURN FASTER PAYMENT CREDIT FROM PIGGY BANK,-1,credit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche3_review,,,returned_payment,
Fewp,"DIRECT DEBIT REVERSAL REF WY12FEWP-BRSK LTD, MANDATE NO 0075",-25,credit,plaid,INCOME_SALARY,already_verified,gold_tail_human_verified,,,returned_payment,
Pastdue,REVERSAL OF 12-08 PASTDUE CREDIT SOL,-45.93,credit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche3_review,,,returned_payment,
Spring,Returned direct debit CREDITSPRING 070806 13191414,-8.51,credit,plaid,TRANSFER_IN_OTHER,already_verified,production_tranche1_review,,,returned_payment,
Unpaid Loan,UNPAID LOAN,7,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,returned_payment,
3s Retail LTD,3S RETAIL LTD,1.99,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,convenience_store,3S Retail Ltd is a convenience food shop.
Accessories Palace,ACCESSORIES PALACE QATAR AMOUNT IN QAR 25.00 ON 04 AUG VISA 4.782241 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.16 ,5.39,debit,plaid,TRAVEL_AND_TRANSPORTATION_FLIGHTS,already_verified,gold_tail_human_verified,,,retail_other,
Berwick,Berwick - Retail,1.65,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche2_review,,,retail_other,
Capital Carp,Capital Carp,12.16,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,retail_other,
Collectables,COLLECTABLES      CASTLEFORD,19.49,debit,plaid,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,already_verified,gold_head_adjudicated,,,retail_other,
Ego.co.uk,Ego.co.uk,13.99,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,clothing_womens,
Hilltopvendingsoluti,Nyx*hilltopvendingsoluti,1,debit,plaid,FOOD_RETAIL_OTHER,already_verified,gold_tail_human_verified,,,confectionary,
Jagproducts,www.jagproducts.co.uk,224.91,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,retail_other,
7 Days Performance,7DAYS PERFORMANCE,10.19,debit,plaid,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,already_verified,production_tranche1_review,,,prize_competitions,
Bauerukcomp,Bauerukcomp,10,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,production_tranche2_review,,,prize_competitions,
