merchant_raw,description_raw,amount,direction,provider,native_category,source,provenance,haiku_leaf,sonnet_leaf,gold_leaf,notes
Google Play,Google Play Apps CD 0633,1.09,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,gold_head_adjudicated,,,software,
Mcafee,MCAFEE*AUTORENEWAL IRELAND ON 10 SEP BCC MCAFEE *WWW.MCAFEE.COM,95.99,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,gold_head_adjudicated,,,software,
OpenAI,OPENAI *CHATGPT SUBS,20,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,gold_tail_human_verified,,,software,
Mimicpc,WWW.MIMICPC.COM        +6598928358     SG,7.65,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche3_review,,,software,
Nanosoft,Visa purchase WWW.NANOSOFT.CO.UK APPLEPAY 6823,42.91,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche3_review,,,software,
Instra,MONDAY.COM Instra,50.4,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,software,
Vinted,Vinted,6.24,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,marketplace_general,
eBay,eBay O*17-13430-22  ON 12 AUG CPM EBAY O*17-13430-22340,21.54,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,marketplace_general,
Depop,Visa purchase DEPOP APPLEPAY 9761,57.69,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,marketplace_general,
Etsy,Etsy,5.54,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,marketplace_general,
Gumtree,5017 14JUL25      GUMTREE COM       LONDON GB,9.99,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,marketplace_general,
Fruugo,Fruugo,17.8,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,marketplace_general,
Netflix,Netflix.com,18.99,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,gold_head_adjudicated,,,streaming,
Now Tv,NOW C6DD1 Sky Spor NOW TV,26,debit,plaid,ENTERTAINMENT_OTHER_ENTERTAINMENT,already_verified,gold_head_adjudicated,,,streaming,
YouTube Premium,9663 22JUL25      GOOGLE            *YOUTUBEPREMIUM   650-253-0000 GB,12.99,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,gold_head_adjudicated,,,streaming,
NOW,PAYPAL *NOW 4E979,26,debit,plaid,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,already_verified,gold_tail_human_verified,,,streaming,
Youtube Memlondon,Google YouTube MemLondon,2.99,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,gold_tail_human_verified,,,streaming,
Nisa,LNK NISA LOCAL 1A,91.99,debit,plaid,TRANSFER_OUT_CHECKS_AND_ATM,already_verified,gold_head_adjudicated,,,groceries,Final human adjudication: groceries. The underlying merchant is a supermarket or symbol-group grocery retailer. Luna votes: convenience_store / convenience_store / convenience_store.
Costcutter,Costcutter,3.99,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,gold_head_adjudicated,,,groceries,Final human adjudication: groceries. The underlying merchant is a supermarket or symbol-group grocery retailer. Luna votes: convenience_store / convenience_store / convenience_store.
Spar,Spar,4.34,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries,Final human adjudication: groceries. The underlying merchant is a supermarket or symbol-group grocery retailer. Luna votes: convenience_store / convenience_store / convenience_store.
Central Convenience Stores,CENTRAL STORES  ON 19 SEP CPM Central Convenience Stores,2.5,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,gold_head_adjudicated,,,convenience_store,
Keystore,Keystore,6.08,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,gold_head_adjudicated,,,convenience_store,
V Kent Minimart LTD,V KENT MINIMART LT,3.5,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,gold_head_adjudicated,,,convenience_store,
Boots,BOOTS 2274,1.9,debit,plaid,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,already_verified,gold_head_adjudicated,,,pharmacy,
Superdrug,"SUPERDRUG STORES PLC (VIA GOOGLE PAY), ON 09-08-2025",31.14,debit,plaid,PERSONAL_CARE_HAIR_AND_BEAUTY,already_verified,gold_head_adjudicated,,,pharmacy,
