merchant_raw,description_raw,amount,direction,gold_leaf
S Hussain Barry,S  Hussain        Barry             VIA MOBILE - PYMT FP 08/09/25 10    26172239350667000N,50.0,debit,transfer_p2p
M Rafferty Amy,M rafferty        Amy,80.0,debit,transfer_p2p
Goodramgateltd,MS* GOODRAMGATELTD,316.8,debit,unclassified_other
Cd Mr,3859 09AUG25 CD   MR MULLIGANS      NORWICH           NORWICH GB,4.0,debit,days_out
Trainline,8499 02OCT25  D   TRAINLINE         WWW.THETRAINL GB,3.4,debit,public_transport_rail_coach
Priyo Bazaar Cd,PRIYO BAZAAR CD 2217,24.98,debit,groceries_specialist
Morr Paignton,MORR PAIGNTON Morr Paignton,25.0,debit,groceries
Prime Video Add-on,Prime Video*H73XV8  ON 31 OCT BCC PRIME  VIDEO ADD-ON,7.99,debit,streaming
Chaotic,1326 10AUG25  D   CHAOTIC           REDHILL GB,5.25,debit,prize_competitions
St George's School Sho,"ST GEORGE'S SCHOOL SHO (VIA APPLE PAY), ON 10-10-2025",1.5,debit,school_fees
Sony Playstation,PlayStation Networ  ON 30 JUL BCC PLAYSTATION NETWORK,6.99,debit,gaming_console_pc
Jackpotz Competitions,Jackpotz Competitions,2.97,debit,prize_competitions
Arnold Varga Pi,ARNOLD VARGA PI9714840265427745,100.0,debit,transfer_p2p
Bettavendltd,NYX*BettaVendLtd,1.0,debit,confectionary
T S Clements Gaa,T S CLEMENTS  GAA FT,50.0,debit,sports_participation
Natalia Rola Pi,NATALIA ROLA PI5599466051797963,10.0,debit,transfer_p2p
United Kingdom,United Kingdom Account - From S Moran Rebecca Jepson - SortCodeAccountNumber: 11006212256069,20.0,debit,transfer_p2p
Exchanged To Eth,Exchanged to ETH,1.0,debit,crypto
Apple,2685 15AUG25      APPLE.COM/BILL    08001076285 IE,0.99,debit,software
Transport for London,TFL TRAVEL CH TfL,8.9,debit,public_transport_rail_coach
Pxtb,PXTB,17.3,debit,unclassified_other
Www.getbits.app,www.getbits.app,49.06,debit,financial_services_other
White Lion Cd,White Lion CD 2413,5.1,debit,pub_bar
Moneyboat.co.uk,Visa purchase MONEYBOAT.CO.UK-1106147,255.21,debit,payday_loan
SkyBet,Visa purchase SKY BET 4782,5.0,debit,gambling_betting
Colwyn Bay Cricket,COLWYN BAY CRICKET  ON 08 SEP CPM,9.9,debit,restaurant_cafe
Apple,Visa purchase APPLE.COM/BILL,2.99,debit,software
Five Bridges,FIVE BRIDGES,43.42,debit,pub_bar
James Brain Garden Ft,JAMES BRAIN  GARDEN FT,25.0,debit,tradesmen
Aulds Piazza Shopping Cen,AULDS PIAZZA SHOPP,3.09,debit,restaurant_cafe
Cd Pfc,7978 25JUN25 CD   PFC               LONDON GB,5.5,debit,takeaway
T Allen,T ALLEN 777118 36648660,2.0,debit,transfer_p2p
Pepes Luton,Pepes Luton  ON 27 SEP CPM PEPES LUTON,5.99,debit,takeaway
Douglas Kell,DOUGLAS KELL 100000001592508112,10.0,debit,transfer_p2p
Smoke And Vape,Contactless Payment SMOKE AND VAPE 2.0 APPLEPAY 8991,2.89,debit,vaping
N Poole,N POOLE 110123 11623969,5.0,debit,transfer_p2p
Aecc Su Bar,Aecc Su Bar,1.25,debit,pub_bar
Apple,Apple,0.99,debit,software
Euan Hadley Food,EUAN HADLEY       FOOD              VIA MOBILE - LVP  FP 11/08/25 10    22065133172857000N,7.0,debit,transfer_p2p
Apple,9074 12SEP25      APPLE.COM/BILL    08001076285 IE,12.99,debit,software
Douglas Kell,DOUGLAS KELL 200000001619989543,25.0,debit,transfer_p2p
RingGo,RINGGO PARKING,4.3,debit,car_parking
Voi,Voi UK,1.6,debit,bicycle
Icelandair,ICELAND Iceland,1.15,debit,groceries
G Gibson,G GIBSON 110394 18716669,4.99,debit,transfer_p2p
Taptap Send,TapTap Send,1.0,debit,transfer_international
G Crossan,G CROSSAN,10.0,debit,transfer_p2p
Acorn Insurance,ACORN INSURANCE AN 01HVNPC0470665,169.44,debit,insurance_motor
SkyBet,Sky Bet,6.63,debit,gambling_betting
Savers Health And Beauty,Savers Health and Beauty,2.67,debit,health_beauty_general
Domino's,Domino’s,105.29,debit,takeaway
Boston Grill,Boston Grill,55.98,debit,restaurant_cafe
Morr Brampton Barnsley,MORR BRAMPTON     BARNSLEY,20.0,debit,groceries
Sainsbury's Petrol Station,SAINSBURYS PETROL  ON 02 JUL CPM Sainsbury's - Fuel,2.0,debit,fuel
Transport for London,TFL TRAVEL CH  ON 12 OCT CPM TFL TRAVEL CHARGE,1.75,debit,public_transport_rail_coach
Dvla-w,REVERSAL OF 18-09 DVLA-W359MCL      FIRST PAYMENT,31.5,credit,returned_payment
Jack Fishpool,United Kingdom Account - From T.s. Plaste Jack Fishpool - SortCodeAccountNumber: 30944388751068,350.0,debit,transfer_p2p
Brent Parking,8321 07SEP25      BRENT PARKING     WWW.BRENT.GOV GB,0.4,debit,car_parking
Current,204660 03377172  OPTIONAL FT Barclays current account,50.0,debit,transfer_own_account
Joshuas,"JOSHUAS CONVENIENCE ST (VIA APPLE PAY), ON 19-07-2025",4.5,debit,convenience_store
Prize Paradise,Prize Paradise,6.37,debit,prize_competitions
Amazon,AMZNMktplace*R74W9,13.59,debit,marketplace_amazon
Google One,GOOGLE *Google One,1.59,debit,web_services
Bobbing Corner Service,BOBBING CORNER SER  ON 06 AUG CPM BOBBING CORNER SERVICE,10.26,debit,fuel
Kj Barbers Sho,Kj Barbers Sho,15.0,debit,beauty_treatment
Saikou Jaiteh,SAIKOU JAITEH 200000001616910241,15.0,debit,transfer_p2p
