merchant_raw,description_raw,amount,direction,gold_leaf
Churchill,CHURCHILL INSURANC CHURCHILL INSURANCE,180.74,debit,insurance_general
Cooplands Bakery,COOPLANDS BAKERY,5.8,debit,restaurant_cafe
Evergreen Finance Ltd,Evergreen Finance  MONEYBOAT 1058381 BGC,250.0,credit,loan_disbursement
BW Legal,Bw Legal BW LEGAL SERVICES Bw Legal Services,1.0,debit,debt_collection
London Dungeon,London Dungeon,70.0,debit,days_out
Wagamama's,6680 09JUN24  D   WAGAMAMA LIMITED  203               LONDON GB,66.5,debit,restaurant_cafe
Forester Life Insurance,Direct debit FORESTER LIFE ************4882,10.0,debit,insurance_life
Megaways Casino,MEGAWAYSCASINO.COM GIBRALTAR ON 22 FEB BCC,10.0,debit,gambling_casino
Megaways Casino,megawayscasino com        CD1632,17.95,credit,gambling_unspecified
Garlands,Contactless Payment GARLANDS PATISSERIE APPLEPAY 0196,8.05,debit,restaurant_cafe
GuarantorMyLoan,GUARANTORMYLOAN,145.17,debit,personal_loan_repayment
Churchill,CHURCHILL INSURANC CHURCHILL INSURANCE,296.37,debit,insurance_general
Levis,Levis convenience Levis convenience store,9.82,debit,convenience_store
Hutchison 3g Uk Limited,Three HUTCHISON 3G UK LI Hutchison 3g Uk Li,29.95,debit,mobile_phone_contract
NetBet,www.netbet.com MALTA ON 06 MAR CPM WWW.NETBET.COM,15.0,debit,gambling_betting
Maxol Service Stations,Contactless Payment MAXOL SSTN DOWNPATRICK GOOGLE 5861,3.45,debit,fuel
Payday.co.uk,KEEP ASIDE FOR PAYDAY  pot_0000Ag7ThIk15SwcyuMgdP,5.0,credit,savings_transfer
Boyes,W BOYES & CO LTD C  ON 20 DEC BCC,9.42,debit,discount_store
Home Retail Group Card,HME RTL GRP CARDS,12.91,debit,credit_card_repayment
A G Communications,AG Communications                        GXPPP069FGTR63JST0,50.0,debit,gambling_casino
Gregory Pennington,"DIRECT DEBIT PAYMENT TO GREGORY PENNINGTON REF GP11818579, MANDATE NO 0013",126.0,debit,debt_management_plan
Mace,9902 01APR25 C    MACE GASWORKS     BELFAST GB,7.8,debit,convenience_store
Adecco,ADECCO UK LIMITED,135.66,credit,income_agency_work
Boyes,Visa purchase W BOYES & CO LTD BILLI,3.48,debit,discount_store
Western Union,WESTERN UNION,66.9,debit,transfer_international
Lloyds TSB Credit Card,LLOYDS BANK PLATIN,32.0,debit,credit_card_repayment
Lifestyle Express,Lifestyle Express,35.19,debit,convenience_store
Winter Wonderland,0330 03DEC22 CD   WINTER WONDERLAND LONDON GB,10.0,debit,days_out
Citi Bank,Payment from Citibank Ire Fin S,6.01,credit,financial_institution_unspecified
Amazon Prime Now,AMZN MKTP UK*H04JD3LY4 Amazon Prime Now ,144.07,debit,marketplace_amazon
Orange,Contactless Payment ORANGE MARKET 01 APPLEPAY 9063 2024-06-09,0.79,debit,convenience_store
CK Supermarkets,CK FOODSTORES,2.0,debit,groceries
The Blues Kitchen,The Blues Kitchen Manc,38.6,debit,restaurant_cafe
Allpay.net,"Allpay Limited 2, A02598443",6.27,debit,payment_intermediary
Marbles Mastercard,THIRD PARTY PAYMENT MADE VIA FASTER PAYMENT TO MARBLES REFERENCE 1A47AB64B52148B1B0 SANTANDER REFERENCE 18162A136F4C40C580,28.78,debit,credit_card_repayment
Salford City Council,CITY OF SALFORD CR  903188033 STO,230.0,debit,council_tax
Close Bros,Direct debit CLOSEBROSMOTFIN ************6335,63.79,debit,car_finance_repayment
Templeman Retailing & Vending,TEMPLEMAN RETAILIN  ON 12 DEC CLP TEMPLEMAN RETAILING AN,1.0,debit,confectionary
Cymru W Water,DWR CYMRU WELSH WA,12.32,debit,water
Eurospar,Eurospar Portaferry EndToEndID: NOTPROVIDED,6.06,debit,groceries
Sendwave,Sendwave  ON 13 FEB BCC SENDWAVE,20.0,debit,transfer_international
Vivo Stores,4190 09AUG24      VIVO DESERTMARTIN SUPE              MAGHERAFELT GB,37.2,debit,groceries
London Underground,LUL TICKET MACHINE,10.0,debit,public_transport_rail_coach
Twist London,DELI TWIST        LONDON N9,5.2,debit,restaurant_cafe
Westfield,"WESTFIELD SHOPPING - LVL 55 WESTFIELD SHOPPING CENTRE, LONDON",6.5,debit,unclassified_card_spend
Education Authority,11010400 Education Auth Nrt,1459.17,credit,salary
Central Convenience Stores,CENTRAL CONVENIENC  ON 26 MAY CLP,20.08,debit,convenience_store
Colten Care,COLTEN CARE LIMITE BGC  COLTEN CARE LIMITE BGC ,260.44,credit,salary
