row,gold_set,provider,merchant_raw,description_raw,amount,direction,gold_leaf,gold_general,review_notes,agree,native_category_raw,plaid_leaf,plaid_general,native_leaf,native_general,pipeline_leaf,pipeline_general,pipeline_tier,gold_matches_native,gold_matches_pipeline,gold_matches_native_general,gold_matches_pipeline_general,excluded_from_v3_score_self_sourced_dict
1,v3_volume,equifax,Betfair,2161 02NOV24      BETFAIR           WWW.PADDYPOWE GB,245.0,debit,gambling_betting,gambling,Betfair/Paddy Power debit; licensed bookmaker stake.,established,Gambling and Betting | Betting,,,gambling_betting,gambling,gambling_betting,gambling,T4_dictionary,yes,yes,yes,yes,no
2,v3_volume,equifax,Tesco,TESCO STORES SACAT,39.72,debit,groceries,groceries_household_essentials,Tesco supermarket self-checkout (SACAT) debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
3,v3_volume,equifax,Nandos,3478 25JUN24 CD   NANDOS            PRESTON DEEP GB,3.75,debit,restaurant_cafe,eating_drinking_out,Nando's debit; fast-casual restaurant per brief.,established,"Restaurants and takeaway | Restaurants, Cafes and Bistros",,,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
4,v3_volume,equifax,Apple App Store,8256 05OCT24  D   APPLE.COM/BILL    APPLE.COM/BIL IE,5.49,debit,software,digital_subscriptions_services,Apple.com/bill debit; App Store bill with no media-product cue.,yes,Shopping (Discretionary) | Music and Downloads,,,streaming,digital_subscriptions_services,software,digital_subscriptions_services,T4_dictionary,no,yes,yes,yes,no
5,v3_volume,equifax,Child Benefits,HMRC CHILD BENEFIT,76.45,credit,benefits_state,income_benefits_state_support,HMRC Child Benefit credit.,established,,,,unclassified_other,unclassified,benefits_state,income_benefits_state_support,T4_dictionary,no,yes,no,yes,no
6,v3_volume,equifax,Admiral Insurance,P7333499601 Admiral Insurance,86.2,debit,insurance_general,insurance,Admiral is multi-line; insurance_general not motor-only.,established,Insurance | Motor Insurance,,,insurance_motor,insurance,insurance_motor,insurance,T4_dictionary,no,no,yes,yes,no
7,v3_volume,equifax,B&M,B&M 065 - INSHES  ON 07 FEB CLP,5.0,debit,discount_store,groceries_household_essentials,B&M variety discounter debit.,established,Shopping (Home) | Home Improvements,,,home_improvement,home_garden,discount_store,groceries_household_essentials,T4_dictionary,no,yes,no,yes,no
8,v3_volume,equifax,HMRC,Hmrc Gov.uk Sa,1920.81,debit,tax_payment,council_tax_government,HMRC Self Assessment debit.,yes,,,,unclassified_other,unclassified,tax_payment,council_tax_government,T4_dictionary,no,yes,no,yes,no
9,v3_volume,equifax,Playstation,PlaystationNetwork  ON 24 DEC BCC,8.99,debit,gaming_console_pc,entertainment_leisure,PlayStation Network debit; console gaming.,established,Shopping (Discretionary) | PC and Console Games,,,gaming_console_pc,entertainment_leisure,gaming_console_pc,entertainment_leisure,T4_dictionary,yes,yes,yes,yes,no
10,v3_volume,equifax,eDreams,EDREAMS CD 1636,913.03,credit,refund_received,income_other,"Override prefill holiday_package: eDreams CREDIT £913 with native Refund | Holidays; retailer credit is a refund, not spend.",established,Refund | Holidays,,,refund_received,income_other,refund_received,income_other,T6_native_fallback,yes,yes,yes,yes,no
11,v3_volume,equifax,Lidl,Lidl Gb  High Wycombe,16.96,debit,groceries,groceries_household_essentials,Lidl food discounter debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
