normalised_merchant,detailed_category,notes
parentpay,school_fees,Carlos review 2026-08-26
aviagames,gaming_mobile,Carlos review 2026-08-26
airbnb,accommodation,Carlos review 2026-08-26
capital on tap,business_loan_repayment,Carlos review 2026-08-26
shopify,web_services,Carlos review 2026-08-26
ticketmaster,live_music,Carlos review 2026-08-26
m6 toll,tolls,Carlos review 2026-08-26
gala bingo,gambling_bingo,Carlos review 2026-08-26
five guys,takeaway,Carlos review 2026-08-26
black horse,car_finance_repayment,Carlos review 2026-08-26
tgtg,takeaway,Carlos review 2026-08-26
bodycare,health_beauty_general,Carlos review 2026-08-26
proper job,home_improvement,Carlos review 2026-08-26
qvc,retail_tv_online_shopping,Carlos review 2026-08-26
mbna,credit_card_repayment,Carlos review 2026-08-26
the royal oak,pub_bar,Carlos review 2026-08-26
ring,web_services,Carlos review 2026-08-26
solitaire cash,prize_competitions,Carlos review 2026-08-26
liverpool victoria insurance,insurance_general,Carlos review 2026-08-26
smarkets,gambling_betting,Carlos review 2026-08-26
cd first,public_transport_rail_coach,Carlos review 2026-08-26
cd morr,groceries,Carlos review 2026-08-26; T2 petrol/cafe before T4
raja brothers,convenience_store,Carlos review 2026-08-26
mace,convenience_store,Carlos review 2026-08-26
the swan,pub_bar,Carlos review 2026-08-26
radstock co-operative,groceries,Carlos review 2026-08-26
lego,toys,Carlos review 2026-08-26
ipayimpact.co.uk,school_fees,Carlos review 2026-08-26
the white horse,pub_bar,Carlos review 2026-08-26
lifestyle express,convenience_store,Carlos review 2026-08-26
tui,holiday_package,Carlos review 2026-08-26
the market inn,pub_bar,Carlos review 2026-08-26
marriott,accommodation,Carlos review 2026-08-26
converters,pawnbroker,Carlos review 2026-08-26
star sports,gambling_betting,Carlos review 2026-08-26
help to save,savings_transfer,Carlos review 2026-08-26
white lion cd,pub_bar,Carlos review 2026-08-26
mta,public_transport_rail_coach,Carlos review 2026-08-26
home essentials,home_accessories,Carlos review 2026-08-26
barclays bank,mortgage,Carlos review 2026-08-26; Barclays UK Mortgages DD
fashion world,clothing_womens,Carlos review 2026-08-26
morr,groceries,Carlos review 2026-08-26; T2 petrol/cafe before T4
cd brew,alcohol_beer_spirits,Carlos review 2026-08-26
dice,live_music,Carlos review 2026-08-26
assist,bnpl,Carlos review 2026-08-26
caddy comps ltd,prize_competitions,Carlos review 2026-08-26
dobbies garden centre,garden,Carlos review 2026-08-26
roxy ball room,pub_bar,Carlos review 2026-08-26
leeds city council,government_services,Carlos review 2026-08-26
vanguard,investment_general,Carlos review 2026-08-26
zurich,insurance_general,Carlos review 2026-08-26
the pools,gambling_betting,Carlos review 2026-08-26
ring basic plan london,web_services,Carlos review 2026-08-26
the crown & sceptre,pub_bar,Carlos review 2026-08-26
