normalised_merchant,detailed_category,n,n_debit,n_credit,notes
icelandair,groceries,10390,9542,848,parent override of agent skip/mismatch
tesco petrol,fuel,8617,8591,26,both Luna agents; parent review
trainline,public_transport_rail_coach,7445,7139,306,both Luna agents; parent review
tiktok shop,marketplace_general,4994,4897,97,both Luna agents; parent review
three uk,mobile_phone_contract,4854,4523,331,both Luna agents; parent review
costa coffee,restaurant_cafe,4565,4550,15,parent override of agent skip/mismatch
zable,credit_card_repayment,4537,4537,0,both Luna agents; parent review
ee,mobile_phone_contract,4526,4362,164,both Luna agents; parent review
jackpotjoy,gambling_bingo,4026,4026,0,parent override of agent skip/mismatch
utilita energy,energy,3392,3391,1,both Luna agents; parent review
giffgaff,mobile_phone_contract,3165,3095,70,both Luna agents; parent review
paypal pay in 4,bnpl,2789,2789,0,both Luna agents; parent review
asda petrol,fuel,2722,2702,20,both Luna agents; parent review
wise,money_transfer_service,2275,2163,112,parent override of agent skip/mismatch
sky betting and gaming,gambling_betting,2260,2260,0,parent override of agent skip/mismatch
cardtronics,cash_withdrawal,2094,2094,0,both Luna agents; parent review
e.on uk,energy,2010,1948,62,both Luna agents; parent review
heart bingo,gambling_bingo,2005,2005,0,both Luna agents; parent review
zable cards,credit_card_repayment,1802,1802,0,both Luna agents; parent review
midnite,gambling_betting,1744,1744,0,parent override of agent skip/mismatch
sainsbury's petrol station,fuel,1690,1690,0,both Luna agents; parent review
hastings insurance,insurance_motor,1673,1553,120,both Luna agents; parent review
southern co-op,groceries,1524,1520,4,both Luna agents; parent review
vue,cinema,1471,1408,63,both Luna agents; parent review
zable card zable,credit_card_repayment,1395,1395,0,both Luna agents; parent review
veezu,taxi_rideshare,1339,1337,2,both Luna agents; parent review
lottoland,gambling_lottery,1311,1278,33,parent override of agent skip/mismatch
best one,convenience_store,1186,1186,0,parent override of agent skip/mismatch
puregym,gym_fitness,1043,993,50,both Luna agents; parent review
smyths,toys,1011,993,18,both Luna agents; parent review
cabot financial,debt_collection,1003,1000,3,parent override of agent skip/mismatch
creation.co.uk,retail_finance_repayment,997,965,32,both Luna agents; parent review
moorcroft group,debt_collection,987,986,1,both Luna agents; parent review
cd b&m,discount_store,943,939,4,both Luna agents; parent review
snappy,groceries,941,941,0,both Luna agents; parent review
whatnot,marketplace_general,918,918,0,both Luna agents; parent review
tenpin,entertainment_other,885,882,3,parent override of agent skip/mismatch
roblox,gaming_online,876,876,0,both Luna agents; parent review
ad free for primevideo,streaming,859,848,11,both Luna agents; parent review
edf uk card payments,energy,837,837,0,both Luna agents; parent review
lemonade finance (lemfi),money_transfer_service,803,803,0,both Luna agents; parent review
snap finance,retail_finance_repayment,786,762,24,both Luna agents; parent review
youtube,streaming,768,768,0,both Luna agents; parent review
edf energy,energy,767,719,48,both Luna agents; parent review
nando's,restaurant_cafe,715,595,120,parent override of agent skip/mismatch
translink,public_transport_rail_coach,698,697,1,both Luna agents; parent review
pokerstars,gambling_casino,666,615,51,both Luna agents; parent review
openai,web_services,638,638,0,both Luna agents; parent review
aaa membership,breakdown_cover,632,624,8,both Luna agents; parent review
creation,retail_finance_repayment,628,628,0,both Luna agents; parent review
bpo collections,debt_collection,624,624,0,both Luna agents; parent review
experian,credit_reporting_service,616,603,13,both Luna agents; parent review
link financial,debt_collection,608,603,5,both Luna agents; parent review
barclays savings,savings_transfer,607,607,0,both Luna agents; parent review
betmgm,gambling_betting,603,603,0,both Luna agents; parent review
justpark,car_parking,575,555,20,both Luna agents; parent review
ovoenergy,energy,564,564,0,both Luna agents; parent review
animal health care,veterinary,556,534,22,both Luna agents; parent review
exchanged to btc,crypto,552,552,0,both Luna agents; parent review
yorkshire water,water,547,518,29,Luna A + parent review
premier inn,accommodation,535,515,20,Luna A + parent review
patreon,online_services,535,535,0,Luna A + parent review
ee device,mobile_handset,525,516,9,Luna A + parent review
john lewis & partners,department_store,524,462,62,Luna A + parent review
freeprints,printing_services,500,492,8,Luna A + parent review
j d sports,sportswear,500,473,27,Luna A + parent review
broadway casino,gambling_casino,497,497,0,Luna A + parent review
talktalk telecom,broadband_tv_phone,496,486,10,Luna A + parent review
clover casino,gambling_casino,489,489,0,Luna A + parent review
smarty co uk,mobile_phone_contract,466,466,0,Luna A + parent review
booker,cash_and_carry,465,422,43,Luna A + parent review
meccabingo,gambling_bingo,464,464,0,Luna A + parent review
cd boots,pharmacy,451,449,2,Luna A + parent review
