normalised_merchant,detailed_category,n,n_debit,n_credit,notes
colchester zoo,days_out,49,49,0,n=10-49 both Luna; parent review
the tanning shop,beauty_treatment,49,49,0,n=10-49 both Luna; parent review
medexpress,pharmacy,49,49,0,n=10-49 both Luna; parent review
the botanist,restaurant_cafe,49,49,0,n=10-49 both Luna; parent review
las iguanas,restaurant_cafe,48,48,0,n=10-49 both Luna; parent review
playgroundgameleamingtonspa,days_out,48,48,0,n=10-49 both Luna; parent review
quinnbet,gambling_betting,47,47,0,n=10-49 both Luna; parent review
german doner kebab,takeaway,47,47,0,n=10-49 both Luna; parent review
aig,insurance_general,47,47,0,n=10-49 Luna A + parent
classpass,gym_fitness,47,46,1,n=10-49 both Luna; parent review
gmb trade union,trade_union,46,44,2,n=10-49 both Luna; parent review
marie curie,charitable_donation,45,45,0,n=10-49 both Luna; parent review
majestic wine,alcohol_wine,45,45,0,n=10-49 Luna A + parent
calvin klein,clothing_general,44,41,3,n=10-49 Luna A + parent
cosy club,restaurant_cafe,44,44,0,n=10-49 Luna A + parent
london zoo,days_out,44,43,1,n=10-49 both Luna; parent review
petrogas,fuel,44,44,0,n=10-49 both Luna; parent review
spencers news,convenience_store,44,44,0,n=10-49 both Luna; parent review
fashion nova,clothing_general,43,43,0,n=10-49 both Luna; parent review
the blues kitchen,restaurant_cafe,43,43,0,n=10-49 Luna B + parent
aci-uk,debt_collection,43,43,0,n=10-49 parent override
whatnot ltd,marketplace_general,43,43,0,n=10-49 both Luna; parent review
yo! sushi,restaurant_cafe,43,43,0,n=10-49 both Luna; parent review
oddbox,groceries_specialist,43,43,0,n=10-49 Luna B + parent
kamsons pharmacy,pharmacy,43,43,0,n=10-49 both Luna; parent review
bella italia,restaurant_cafe,43,42,1,n=10-49 both Luna; parent review
fitness first,gym_fitness,42,40,2,n=10-49 both Luna; parent review
chester zoo,days_out,42,42,0,n=10-49 both Luna; parent review
barburrito,takeaway,42,41,1,n=10-49 Luna A + parent
new kwiki mart,convenience_store,42,42,0,n=10-49 Luna A + parent
intrum,debt_collection,42,42,0,n=10-49 both Luna; parent review
the body shop,health_beauty_general,42,41,1,n=10-49 parent override
wenzels the ba,restaurant_cafe,41,41,0,n=10-49 parent override
intuit limited,software,41,41,0,n=10-49 parent override
cash convert ers,pawnbroker,41,41,0,n=10-49 parent override
green flag,breakdown_cover,41,40,1,n=10-49 both Luna; parent review
empire casino,gambling_casino,41,41,0,n=10-49 both Luna; parent review
thomas the baker,restaurant_cafe,41,41,0,n=10-49 Luna A + parent
driver and vehicle licensing agency,road_tax,41,41,0,n=10-49 parent override
wateraid,charitable_donation,41,40,1,n=10-49 both Luna; parent review
jewson,home_improvement,41,40,1,n=10-49 both Luna; parent review
save the children,charitable_donation,40,40,0,n=10-49 Luna B + parent
just for pets,pet_supplies,38,38,0,n=10-49 Luna A + parent
victorian plumbing,home_improvement,38,38,0,n=10-49 Luna A + parent
parkonomy,car_parking,38,38,0,n=10-49 Luna A + parent
vets4pets,veterinary,38,36,2,n=10-49 Luna A + parent
hollywoodbets,gambling_betting,35,35,0,n=10-49 Luna A + parent
payplan,debt_management_plan,35,35,0,n=10-49 Luna A + parent
best western,accommodation,34,34,0,n=10-49 Luna A + parent
foxy bingo,gambling_bingo,33,33,0,n=10-49 Luna A + parent
seatfrog,public_transport_rail_coach,33,33,0,n=10-49 Luna A + parent
wineflair,alcohol_wine,33,33,0,n=10-49 Luna A + parent
ggpoker,gambling_casino,33,33,0,n=10-49 Luna A + parent
great western railway,public_transport_rail_coach,33,33,0,n=10-49 Luna A + parent
chessington world of adventures,days_out,32,32,0,n=10-49 Luna A + parent
perfect pet,pet_supplies,32,32,0,n=10-49 Luna A + parent
stepchange,debt_management_plan,31,25,6,n=10-49 Luna A + parent
boilerjuice,heating_oil,29,26,3,n=10-49 Luna A + parent
blue banana,clothing_general,29,29,0,n=10-49 Luna A + parent
seethelight,broadband_tv_phone,29,29,0,n=10-49 Luna A + parent
anytime fitness,gym_fitness,29,29,0,n=10-49 Luna A + parent
franco manca,restaurant_cafe,28,28,0,n=10-49 Luna A + parent
beauty bay,health_beauty_general,28,26,2,n=10-49 Luna A + parent
the alchemist,restaurant_cafe,28,28,0,n=10-49 Luna A + parent
p&o ferries,ferry_rail_travel,28,28,0,n=10-49 Luna A + parent
health lottery,gambling_lottery,28,28,0,n=10-49 Luna A + parent
lyft,taxi_rideshare,28,27,1,n=10-49 Luna A + parent
ford credit,car_finance_repayment,27,27,0,n=10-49 Luna A + parent
novuna personal finance,personal_loan_repayment,27,27,0,n=10-49 Luna A + parent
everyday loans,personal_loan_repayment,27,27,0,n=10-49 Luna A + parent
the mortgage works,mortgage,27,27,0,n=10-49 Luna A + parent
click energy,energy,26,26,0,n=10-49 Luna A + parent
ca auto finance,car_finance_repayment,25,25,0,n=10-49 Luna A + parent
gymshark,sportswear,25,25,0,n=10-49 Luna A + parent
rci financial services,car_finance_repayment,25,25,0,n=10-49 Luna A + parent
bamboo loans,personal_loan_repayment,25,25,0,n=10-49 parent override
metrolink,public_transport_rail_coach,25,25,0,n=10-49 Luna A + parent
legoland windsor,days_out,25,25,0,n=10-49 Luna A + parent
matchbook,gambling_betting,23,23,0,n=10-49 Luna B + parent
