merchant,n,n_debit,n_credit,pct_credit,modal_plaid,suggested_leaf,source,reason,samples
flex,5163,5163,0,0.0,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES,,A needs_carlos,generic name has mixed entities and finance/service meanings.,debit|GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES|Flex | debit|GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES|Flex | debit|GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES|Flex | debit|GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES|Flex | debit|GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES|Flex | debit|GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES|Flex
premier,1597,1597,0,0.0,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES,,A needs_carlos,generic key combines unrelated Premier merchants.,debit|TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION|Premier Express   Southsea | debit|TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION|Premier Express   Southsea | debit|TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION|Premier Express   Southsea | debit|TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION|9429 14AUG25 C    PREMIER           PORT TALBOT GB | debi
lloyds bank,1005,1005,0,0.0,BANK_FEES_OTHER_BANK_FEES,,A needs_carlos,"A plausible leaf exists, but the supplied evidence does not establish one unambiguous debit-default entity leaf.",debit|BANK_FEES_OTHER_BANK_FEES|CLUB LLOYDS MONTHL | debit|BANK_FEES_OTHER_BANK_FEES|CLUB LLOYDS MONTHL | debit|BANK_FEES_OTHER_BANK_FEES|CLUB LLOYDS MONTHL | debit|BANK_FEES_OTHER_BANK_FEES|CLUB LLOYDS MONTHL | debit|BANK_FEES_OTHER_BANK_FEES|CLUB LLOYDS MONTHL | debit|BANK_FEES_OTHER_BANK_FEES|CLUB LLOYDS MONTHL
sunderland,912,912,0,0.0,ENTERTAINMENT_CASINOS_AND_GAMBLING,,A needs_carlos,place name and multiple merchants.,debit|ENTERTAINMENT_CASINOS_AND_GAMBLING|MORR SUNDERLAND DO  ON 27 SEP CPM MORR SUNDERLAND DOXFOR | debit|ENTERTAINMENT_CASINOS_AND_GAMBLING|MORR SUNDERLAND DO SUNDERLAND      GB   | debit|ENTERTAINMENT_CASINOS_AND_GAMBLING|3273 16SEP25 CD   ARRIVA DURHAM     COUNTY L          SUNDERLAND GB | debit|ENTERTAINMENT_CASINOS_AND_GAMBLING|8430 25JUL25      TIMBER SUPPLIES   SUNDERLAND GB | debit|ENTERTA
cd ppoint,876,876,0,0.0,TRANSFER_OUT_OTHER,,A needs_carlos,payment processor/personal merchant.,debit|FOOD_RETAIL_GROCERIES|0899 09SEP25 CD   PPOINT_*KHURANA   GROCER            UXBRIDGE GB | debit|TRANSFER_OUT_OTHER|4757 29JUN25 CD   PPOINT_*SELECT ANDSAV               ROMFORD GB | debit|TRANSFER_OUT_OTHER|3985 17SEP25 CD   PPOINT_*MIRAN     LIMITED           LIVINGSTON GB | debit|TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION|2322 23JUL25 CD   PPOINT_*BENSHAM   LOCAL            
sumup,859,859,0,0.0,TRANSFER_OUT_OTHER,,A needs_carlos,payment processor.,debit|GENERAL_MERCHANDISE_CONVENIENCE_STORES|5154 17JUL25 CD   SUMUP  *LOCAL     STORE             LEICESTER GB | debit|TRANSFER_OUT_OTHER|1692 04OCT25 CD   SUMUP  *MANE      STREET FO         HULL GB | debit|TRANSFER_OUT_OTHER|SumUp  *UR Marketing C Sumup *mypt | debit|ENTERTAINMENT_EVENTS_AND_TICKETS|4658 10AUG25 CD   SUMUP  *S S       ENTERTAINM        CARMARTHENSHI GB | debit|FOOD_RETAIL_OTHER
cls,718,718,0,0.0,TRANSFER_OUT_OTHER,,A needs_carlos,generic payment prefix.,"debit|DINING_DINING|CLS 76, Yumas | debit|MEDICAL_PHARMACIES_AND_SUPPLEMENTS|CLS 18, Boots,Hillsborough | debit|DINING_DINING|CLS 49, Woodview Fish Bar And | debit|FOOD_RETAIL_GROCERIES|CLS 01, Patbro Supermarket | debit|FOOD_RETAIL_GROCERIES|CLS 01, Patbro Supermarket | debit|FOOD_RETAIL_GROCERIES|CLS 01, Patbro Supermarket"
cd sumup,575,575,0,0.0,TRANSFER_OUT_OTHER,,A needs_carlos,payment processor.,debit|TRANSFER_OUT_OTHER|3703 14SEP25 CD   SUMUP  *SILVERDAL FC                WALSALL GB | debit|PERSONAL_CARE_HAIR_AND_BEAUTY|6945 14JUL25 CD   SUMUP **RE BARBER COVENTRY GB | debit|PERSONAL_CARE_HAIR_AND_BEAUTY|6945 14JUL25 CD   SUMUP **RE BARBER COVENTRY GB | debit|DINING_DINING|0885 06OCT25 CD   SUMUP  *BUTTYS2GO ROCHDALE GB | debit|DINING_DINING|7349 11SEP25 CD   SUMUP  *NEWSBITE  GLASGOW GB
united kingdom,468,468,0,0.0,TRANSFER_OUT_OTHER,,A needs_carlos,generic transfer counterparty.,debit|CHILDCARE_AND_EDUCATION_CHILDCARE_AND_EDUCATION|United Kingdom Account - Romeo School Photo Blendon Playgroup - SortCodeAccountNumber: 30907601621682 | debit|TRANSFER_OUT_OTHER|United Kingdom Account - sophxx_x Muhammet Sahin - SortCodeAccountNumber: 60013760070951 | debit|TRANSFER_OUT_OTHER|United Kingdom Account - sophxx_x Muhammet Sahin - SortCodeAccountNumber: 60013760070951 | debit|TRAN
perks,451,451,0,0.0,TRANSFER_OUT_OTHER,,A needs_carlos,generic descriptor.,debit|TRANSFER_OUT_OTHER|Perks | debit|TRANSFER_OUT_OTHER|Perks | debit|TRANSFER_OUT_OTHER|Perks | debit|TRANSFER_OUT_OTHER|Perks | debit|TRANSFER_OUT_OTHER|Perks | debit|TRANSFER_OUT_OTHER|Perks
