merchant,n_rows,old_leaf,new_leaf,verdict,suggested_leaf,reason
2 rides,10,taxi_rideshare,bicycle,keep,,Lime/Dott/HumanForest ride or pass in the narrative; micromobility is bicycle not taxi.
2 rides whbu,10,taxi_rideshare,bicycle,keep,,Lime/Dott/HumanForest ride or pass in the narrative; micromobility is bicycle not taxi.
a.saily,10,unclassified_other,mobile_phone_contract,keep,,Saily travel eSIM; mobile_phone_contract per convention.
apollo.io,10,unclassified_other,software,keep,,Apollo.io B2B sales CRM; software.
argylesatellite.co,10,unclassified_other,taxi_rideshare,keep,,Argyle Satellite Taxis Wirral private hire.
argylesatellite.co.uk,10,unclassified_other,taxi_rideshare,keep,,Argyle Satellite Taxis Wirral private hire.
ashbourne management services ltd,10,unclassified_other,gym_fitness,keep,,Ashbourne collects gym/fitness-club Direct Debits.
beatport llc.,10,unclassified_other,music_other,keep,,Beatport DJ/electronic download store; music_other not consumer streaming.
bilal superstore cheadle,10,unclassified_other,groceries,keep,,Named Cheadle superstore; grocery retail.
blink network b.v,10,unclassified_other,fuel,keep,,Blink EV charging billed as fuel per taxonomy convention.
brandon street premier,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
c beenetwork.,10,unclassified_other,public_transport_rail_coach,keep,,Bee Network Greater Manchester public-transport charges.
c premier,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
canvauk,10,unclassified_other,software,keep,,PAYPAL *CANVAUK is Canva; software.
cd ridgewood stores,10,unclassified_other,convenience_store,keep,,Ridgewood Stores Ltd Uckfield convenience store; already dictionary convenience_store.
cder group limited.,10,unclassified_other,debt_enforcement,keep,,CDER Group is a UK bailiff/enforcement agency.
credit engine,10,unclassified_other,credit_reporting_service,keep,,Credit Engine is a paid TransUnion/Equifax score membership; credit_reporting_service.
d lime,10,taxi_rideshare,bicycle,keep,,Lime/Dott/HumanForest ride or pass in the narrative; micromobility is bicycle not taxi.
dcbltd,10,unclassified_other,debt_enforcement,keep,,Direct Collection Bailiffs Ltd (High Court enforcement).
dhadda premier,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
dike and son ltd,10,unclassified_other,groceries,keep,,Independent Stalbridge supermarket (Nisa partner); grocery card spend.
dixon lane premier,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
dott scooter,10,taxi_rideshare,bicycle,keep,,Dott shared e-scooters; same micromobility leaf as Lime.
dover street market,10,unclassified_other,clothing_general,keep,,Fashion retailer Dover Street Market; clothing_general.
evyve services,10,unclassified_other,fuel,keep,,UK public EV rapid-charging network; fuel.
fam premier ltd,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
fish's premier store,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
focusfinance.co.uk,10,unclassified_other,personal_loan_repayment,revert,,"All rows are £3.99 direct debits; matches FCA-warned Focus Finance magazine/subscription pattern, not a loan repayment."
forfar premier,10,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
g.w.r.s.a. clu,10,unclassified_other,private_members_club,keep,,Great Western Railway Staff Association members' club; private_members_club.
gdk winchester,10,unclassified_other,takeaway,keep,,GDK (German Doner Kebab) or named pizza/kebab delivery; not government.
grandpierlimited,10,unclassified_other,days_out,keep,,Weston-super-Mare Grand Pier amusement; days_out.
grant palmer ltd,10,unclassified_other,public_transport_rail_coach,keep,,Bedfordshire bus operator.
greenbank service st,10,unclassified_other,fuel,keep,,Circle K petrol forecourt; amounts include tank-sized fills.
