gold_leaf,n,hinge_correct,t6_correct,hinge_acc,t6_acc,t6_minus_hinge,train_n
salary_gig,2,0,2,0.0,1.0,1.0,49
childcare,1,0,1,0.0,1.0,1.0,451
experience_days,1,0,1,0.0,1.0,1.0,185
fancy_dress,1,0,1,0.0,1.0,1.0,40
insurance_other,1,0,1,0.0,1.0,1.0,471
investment_trading,1,0,1,0.0,1.0,1.0,118
memberships,1,0,1,0.0,1.0,1.0,318
office_equipment,1,0,1,0.0,1.0,1.0,8
unclassified_transfer,1,0,1,0.0,1.0,1.0,36
vehicle_maintenance,1,0,1,0.0,1.0,1.0,1183
salary,7,3,7,0.42857142857142855,1.0,0.5714285714285714,187
adult_entertainment,2,0,1,0.0,0.5,0.5,196
delivery_courier,2,0,1,0.0,0.5,0.5,407
veterinary,2,1,2,0.5,1.0,0.5,505
insurance_general,4,1,2,0.25,0.5,0.25,1049
savings_transfer,5,3,4,0.6,0.8,0.20000000000000007,790
accommodation,8,4,5,0.5,0.625,0.125,1973
refund_received,10,0,0,0.0,0.0,0.0,430
mortgage,6,6,6,1.0,1.0,0.0,229
credit_card_repayment,4,1,1,0.25,0.25,0.0,469
night_club,4,0,0,0.0,0.0,0.0,704
transfer_bank_unspecified,4,0,0,0.0,0.0,0.0,122
alcohol_wine,3,0,0,0.0,0.0,0.0,1981
crypto,3,3,3,1.0,1.0,0.0,444
eating_out_other,3,0,0,0.0,0.0,0.0,202
public_transport_rail_coach,3,2,2,0.6666666666666666,0.6666666666666666,0.0,3473
school_fees,3,0,0,0.0,0.0,0.0,791
sports_equipment,3,0,0,0.0,0.0,0.0,367
tolls,3,3,3,1.0,1.0,0.0,405
catalogue_retail,2,0,0,0.0,0.0,0.0,446
debt_enforcement,2,0,0,0.0,0.0,0.0,293
insurance_home,2,2,2,1.0,1.0,0.0,214
insurance_pet,2,2,2,1.0,1.0,0.0,350
loan_disbursement,2,0,0,0.0,0.0,0.0,84
loan_repayment_other,2,0,0,0.0,0.0,0.0,76
pharmacy,2,2,2,1.0,1.0,0.0,2680
skin_hair_care,2,0,0,0.0,0.0,0.0,665
transport_other,2,0,0,0.0,0.0,0.0,38
unclassified_card_spend,2,0,0,0.0,0.0,0.0,1076
utility_other,2,0,0,0.0,0.0,0.0,15
advertising_services,1,0,0,0.0,0.0,0.0,331
business_services,1,0,0,0.0,0.0,0.0,1017
camping_holiday,1,0,0,0.0,0.0,0.0,143
car_finance_repayment,1,0,0,0.0,0.0,0.0,492
car_hire,1,1,1,1.0,1.0,0.0,269
cash_and_carry,1,0,0,0.0,0.0,0.0,513
cashback,1,1,1,1.0,1.0,0.0,73
clothing_mens,1,1,1,1.0,1.0,0.0,135
clothing_womens,1,0,0,0.0,0.0,0.0,452
days_out,1,0,0,0.0,0.0,0.0,4969
driving_tuition,1,1,1,1.0,1.0,0.0,182
electrical_goods,1,0,0,0.0,0.0,0.0,225
gaming_mobile,1,0,0,0.0,0.0,0.0,378
gaming_online,1,0,0,0.0,0.0,0.0,458
health_beauty_general,1,0,0,0.0,0.0,0.0,827
holiday_package,1,1,1,1.0,1.0,0.0,334
holiday_rental,1,0,0,0.0,0.0,0.0,50
home_accessories,1,0,0,0.0,0.0,0.0,933
home_improvement,1,0,0,0.0,0.0,0.0,1352
household_appliances,1,0,0,0.0,0.0,0.0,121
id_documents,1,1,1,1.0,1.0,0.0,269
insurance_travel,1,1,1,1.0,1.0,0.0,96
