source,provider,merchant_raw,description_raw,amount,direction,native_category,gold_leaf,ml_leaf,waterfall_leaf
unified_v2,plaid,Abercrombie & Fitch,Abercrombie & Fitch,35.0,debit,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,clothing_general,pub_bar,clothing_general
unified_v2,plaid,Byron,Byron Hara Credit Card,130.0,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,credit_card_repayment,transfer_p2p,credit_card_repayment
unified_v2,plaid,Aclax LTD,Barclays account - deposit Aclax ltd - SortCodeAccountNumber: 20134523641341,4100.0,debit,TRANSFER_OUT_OTHER,unclassified_transfer,accountancy,unclassified_transfer
unified_v2,plaid,Domestic & General,"DIRECT DEBIT PAYMENT TO D&G APPLIANCE CARE REF DBJR0006668, MANDATE NO 0056",7.83,debit,INSURANCE_AND_TAX_INSURANCE,insurance_general,insurance_other,insurance_general
unified_v2,plaid,Swiftcover,SWIFTCOVER,57.76,debit,INSURANCE_AND_TAX_INSURANCE,insurance_general,unclassified_other,insurance_general
unified_v2,plaid,Halifax District,HALIFAX DISTRICT PHALIFAX,2.08,debit,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,council_tax,sports_participation,council_tax
unified_v2,equifax,Scottish Widows,SCOTTISH WIDOWS,88.52,debit,Insurance | Life Insurance,insurance_life,days_out,insurance_life
unified_v2,equifax,Plus500,0129 22MAY25      PLUS500           LONDON          GBCREDIT,75.0,credit,Investments and Trading | Trading,investment_trading,gambling_unspecified,investment_trading
unified_v2,equifax,Packlink,PACKLINK,2.97,debit,Services | Delivery,delivery_courier,ferry_rail_travel,delivery_courier
unified_v2,equifax,PRA Group,PRA Group PRA GROUP              LONDON        GBR,132.0,debit,Financial Services | Debt Collection,debt_collection,night_club,debt_collection
unified_v2,equifax,Roadchef,VMS ROADCHEF WHSMISTAFFORD,27.08,debit,"Restaurants and takeaway | Restaurants, Cafes and Bistros",restaurant_cafe,convenience_store,restaurant_cafe
unified_v2,equifax,Amazon Services,AMAZON UK SERVICES  2617 00165995 BGC,400.18,credit,Identified Salary | Amazon,salary,experience_days,salary
unified_v2,equifax,Fidelity,FASTER PAYMENTS RECEIPT REF.WAGES FROM FIDELITY HEALTHCAR,287.0,credit,Identified Salary | Investments,salary,experience_days,salary
unified_v2,equifax,Plus500,7456 03MAR25  D   PLUS500           LONDON GB,244.0,debit,Investments and Trading | Trading,investment_trading,clothing_childrens,investment_trading
unified_v2,equifax,Emirates,Crv*emiratescom Dubai Crv*emirates.com Dubai,115.39,debit,Flights and Holidays | Flights,flights,music_other,flights
unified_v2,equifax,Santeda International Limited,SANTEDA INTL.,30.0,debit,Gambling and Betting | Poker and Casino Games,gambling_casino,unclassified_other,gambling_casino
unified_v2,plaid,Audleys Wood,Audleys Wood Hotel ,5.5,debit,TRAVEL_AND_TRANSPORTATION_LODGING,accommodation,restaurant_cafe,accommodation
unified_v2,plaid,Lavazza,CARD PAYMENT TO LAVAZZA PROFESSIONAL U ON 15-08-2025,1.4,debit,DINING_COFFEE,restaurant_cafe,confectionary,restaurant_cafe
