detailed_category,l1_general_29,l2_budget_17,l3_macro_9,l4_cashflow_7,l5_minimal_4
salary,income_employment,income_employment,income,income,income
salary_gig,income_employment,income_employment,income,income,income
income_agency_work,income_employment,income_employment,income,income,income
employee_benefits,income_employment,income_employment,income,income,income
benefits_state,income_benefits_state_support,income_other_state,income,income,income
housing_benefit,income_benefits_state_support,income_other_state,income,income,income
pension_received,income_other,income_other_state,income,income,income
savings_interest_received,income_other,income_other_state,income,income,income
dividend_received,income_other,income_other_state,income,income,income
tax_refund,income_other,income_other_state,income,income,income
refund_received,income_other,income_other_state,income,income,income
cashback,income_other,income_other_state,income,income,income
income_other_unspecified,income_other,income_other_state,income,income,income
rent,housing,housing_utilities,essential_living,spend,spend
mortgage,housing,housing_utilities,essential_living,debt_repayment,debt
property_management,housing,housing_utilities,essential_living,spend,spend
estate_agent,housing,housing_utilities,essential_living,spend,spend
storage,housing,housing_utilities,essential_living,spend,spend
housing_other,housing,housing_utilities,essential_living,spend,spend
energy,utilities_household_bills,housing_utilities,essential_living,spend,spend
heating_oil,utilities_household_bills,housing_utilities,essential_living,spend,spend
water,utilities_household_bills,housing_utilities,essential_living,spend,spend
tv_licence,utilities_household_bills,housing_utilities,essential_living,spend,spend
mobile_phone_contract,utilities_household_bills,housing_utilities,essential_living,spend,spend
broadband_tv_phone,utilities_household_bills,housing_utilities,essential_living,spend,spend
waste_services,utilities_household_bills,housing_utilities,essential_living,spend,spend
utility_other,utilities_household_bills,housing_utilities,essential_living,spend,spend
council_tax,council_tax_government,council_tax_government,essential_living,spend,spend
tax_payment,council_tax_government,council_tax_government,essential_living,spend,spend
government_services,council_tax_government,council_tax_government,essential_living,spend,spend
id_documents,council_tax_government,council_tax_government,essential_living,spend,spend
emergency_services,council_tax_government,council_tax_government,essential_living,spend,spend
groceries,groceries_household_essentials,groceries_household,essential_living,spend,spend
discount_store,groceries_household_essentials,groceries_household,essential_living,spend,spend
convenience_store,groceries_household_essentials,groceries_household,essential_living,spend,spend
cash_and_carry,groceries_household_essentials,groceries_household,essential_living,spend,spend
groceries_specialist,groceries_household_essentials,groceries_household,essential_living,spend,spend
confectionary,groceries_household_essentials,groceries_household,essential_living,spend,spend
alcohol_beer_spirits,groceries_household_essentials,groceries_household,essential_living,spend,spend
alcohol_wine,groceries_household_essentials,groceries_household,essential_living,spend,spend
tobacco,groceries_household_essentials,groceries_household,essential_living,spend,spend
vaping,groceries_household_essentials,groceries_household,essential_living,spend,spend
takeaway,eating_drinking_out,leisure_lifestyle,discretionary_spend,spend,spend
restaurant_cafe,eating_drinking_out,leisure_lifestyle,discretionary_spend,spend,spend
pub_bar,eating_drinking_out,leisure_lifestyle,discretionary_spend,spend,spend
night_club,eating_drinking_out,leisure_lifestyle,discretionary_spend,spend,spend
catering,eating_drinking_out,leisure_lifestyle,discretionary_spend,spend,spend
eating_out_other,eating_drinking_out,leisure_lifestyle,discretionary_spend,spend,spend
clothing_general,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
clothing_womens,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
clothing_mens,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
clothing_childrens,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
clothing_maternity,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
clothing_outdoor,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
clothing_workwear,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
footwear,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
sportswear,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
jewellery,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
fancy_dress,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
health_beauty_general,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
skin_hair_care,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
beauty_treatment,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
fragrances,clothing_personal_care,retail_shopping,discretionary_spend,spend,spend
home_accessories,home_garden,retail_shopping,discretionary_spend,spend,spend
home_improvement,home_garden,retail_shopping,discretionary_spend,spend,spend
tools,home_garden,retail_shopping,discretionary_spend,spend,spend
garden,home_garden,retail_shopping,discretionary_spend,spend,spend
kitchen,home_garden,retail_shopping,discretionary_spend,spend,spend
bathroom,home_garden,retail_shopping,discretionary_spend,spend,spend
bedding,home_garden,retail_shopping,discretionary_spend,spend,spend
lighting,home_garden,retail_shopping,discretionary_spend,spend,spend
household_appliances,home_garden,retail_shopping,discretionary_spend,spend,spend
home_repair,home_garden,retail_shopping,discretionary_spend,spend,spend
tradesmen,home_garden,retail_shopping,discretionary_spend,spend,spend
construction_services,home_garden,retail_shopping,discretionary_spend,spend,spend
cleaning_services,home_garden,retail_shopping,discretionary_spend,spend,spend
laundry,home_garden,retail_shopping,discretionary_spend,spend,spend
marketplace_amazon,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
marketplace_general,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
marketplace_refurbished,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
payment_intermediary,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
retail_tv_online_shopping,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
catalogue_retail,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
department_store,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
retail_small_independent,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
computing_devices,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
mobile_handset,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
computer_peripherals,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
printing_supplies,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
electrical_goods,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
audio_equipment,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
