detailed_category,general_category,necessity,cash_flow_type,is_debt_related,is_priority_debt,is_age_restricted,risk_flag,is_recurring_income,equifax_source,plaid_source,notes
salary,income_employment,not_applicable,income,false,false,false,none,true,primary:Identified Salary,INCOME_SALARY,
salary_gig,income_employment,not_applicable,income,false,false,false,none,,primary:Identified Salary + sub:Taxis|Delivery|Take Away,,
income_agency_work,income_employment,not_applicable,income,false,false,false,none,,Recruitment Services ; Employment Agencies,,
employee_benefits,income_employment,not_applicable,income,false,false,false,none,,Employee Rewards,,
benefits_state,income_benefits_state_support,not_applicable,income,false,false,false,none,true,primary:Benefits ; primary:Welfare,INCOME_GOVERNMENT_INCOME,
housing_benefit,income_benefits_state_support,not_applicable,income,false,false,false,none,,Housing Benefits,,
pension_received,income_other,not_applicable,income,false,false,false,none,true,primary:Pension Payout,,
savings_interest_received,income_other,not_applicable,income,false,false,false,none,,Bank Interest Accrual ; primary:Interest ; primary:Interests and Dividends,INTERESTS_AND_DIVIDENDS_INTERESTS_AND_DIVIDENDS ; INTEREST_PAYMENTS_INTEREST_RECEIVED,
dividend_received,income_other,not_applicable,income,false,false,false,none,,Dividend,,
tax_refund,income_other,not_applicable,income,false,false,false,none,,primary:Tax Refund,TAX_REFUND_TAX_REFUND,
refund_received,income_other,not_applicable,income,false,false,false,none,,primary:Refund,,
cashback,income_other,not_applicable,income,false,false,false,none,,primary:Cash Back ; Cashback rewards,,
income_other_unspecified,income_other,not_applicable,income,false,false,false,none,,,INCOME_OTHER,
rent,housing,essential,spend,false,true,false,none,,Property Rental,RENT_AND_UTILITIES_RENT,"LOW IV 0.0093 - detection gap, do not trust features yet"
mortgage,housing,essential,debt_repayment,true,true,false,none,,Mortgages,LOAN_PAYMENTS_MORTGAGE_AND_AUTO,
property_management,housing,essential,spend,false,true,false,none,,Property Management,,
estate_agent,housing,mixed_basket,spend,false,false,false,none,,Estate Agents,,
storage,housing,discretionary,spend,false,false,false,none,,Storage,,
housing_other,housing,essential,spend,false,false,false,none,,primary:Rent and Mortgage,,
energy,utilities_household_bills,essential,spend,false,true,false,none,,Energy Providers,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,
heating_oil,utilities_household_bills,essential,spend,false,true,false,none,,Heating Oil,,
water,utilities_household_bills,essential,spend,false,true,false,none,,Water Companies,RENT_AND_UTILITIES_WATER,
tv_licence,utilities_household_bills,essential,spend,false,true,false,none,,TV Licences,,
mobile_phone_contract,utilities_household_bills,essential,spend,false,false,false,none,,Mobile Phone Contracts,RENT_AND_UTILITIES_TELECOMMUNICATIONS,STRONGEST RAYLO ANALOGUE - IV 0.1193 on persistence
broadband_tv_phone,utilities_household_bills,essential,spend,false,false,false,none,,"Internet, TV and Phone",RENT_AND_UTILITIES_INTERNET_AND_CABLE,
waste_services,utilities_household_bills,essential,spend,false,false,false,none,,Waste Services ; Recycling,,
utility_other,utilities_household_bills,essential,spend,false,true,false,none,,primary:Utilities,RENT_AND_UTILITIES_OTHER_UTILITIES,
council_tax,council_tax_government,essential,spend,false,true,false,none,,Council,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,debit only; credit direction = council employee salary
tax_payment,council_tax_government,essential,spend,false,true,false,none,,primary:Tax,INSURANCE_AND_TAX_TAX_PAYMENT,
